Phone Number,Target,Count
+12236674917,195541152591184806921462935929054050924,2
+12313134633,4716872663054770750046922262017067836,2
+14152505426,149258389226712505340183690360647195457,7
+16132910341,195533639196971112416997383392631193323,2
+18052842445,207079293507236751989889417959955015934,5
+18052842445,23196452652427467095198644738194101293,3
+18052842445,325201620755045900988283765521800552791,3
+31614213863,174189940090309382721291406163466332595,2
+31624787073,41175036179517390393258000913467204895,2
+31624841455,28729775986267794346976953387274728718,2
+31627404498,228692135989215131314834419792668693285,2
+31627404498,284567480314312038388261413952970196643,2
+31636554339,6859816081243692720362135448892854060,3
+31651248744,219184643186609263587852845133414378671,4
+33658650840,247051979686758793696539696379940270943,4
+33677400967,18902040288094844545819847949552904958,3
+33686820906,145003974983386157014248735529559097650,2
+33686820906,32587320875153167408279665950081226957,2
+33755184757,198897306932703522738829405777878220676,2
+33755184757,304105738526346664754734992600400384127,2
+351961562402,295451524194854353474613023382970239654,3
+353871913079,86176273216419890033767251110531819480,2
+3548958700,67387776548824626723695939586399160936,2
+358400293515,223598781134989891381493511538933036875,7
+358401913013,194710726482058589211859614822445550967,3
+358403533741,40995997547670237455096111412213150808,3
+358406831811,301337856813485274400271639285105871864,2
+358440888450,303515187998591510043909567761763638861,3
+358442380218,177628687388794493796770992147277614574,2
+358449942899,172999350051746412403624991634329392554,5
+358449942899,330633367347664452211640315429149794847,4
+358453468484,272743911663191065226779049784699264670,4
+358453468484,312303753558148782200640444108415173492,3
+358453468484,312396436435192240508622181522047341889,2
+358458756888,178801444465683557619141396249453453855,2
+358458756888,262297986741918713145580235212099643778,2
+358458756888,276867166184702686996925379242371274868,2
+358458756888,92172554912987101954838698185945545822,2
+358505672208,149112094633442837561265378367600561744,4
+358505672208,6350270349921398053150334968825776219,5
+358942599724,67559770019286746317239235445862725716,4
+36205723733,67781908951412897605797361340594034690,2
+37062558385,101243608155292152297686225113114016202,2
+37066236499,252513319423625953651101970244224099076,2
+37066236499,42216302693148095969897790317258717521,2
+37066236499,83802174638076962170185747227809130104,2
+393513414309,266695470033255944135148394528686892926,3
+393513414309,274404216910394823659946477459324294884,3
+393792142176,93677944569151502247186392060340377610,1
+393896083940,127225177277037352023324747565624034072,2
+393896083940,318006784758236963067806179181905916147,1
+40732322500,274488186167355069482373140842325028374,1
+40750602700,179265926948106760120269057229762768103,3
+40750602700,7678071127138648468578447245814542651,3
+40763583099,198215012154213637438083686803832876496,2
+41779760992,153395900917990915772166718548855487759,2
+41779760992,154824818101060468756121338767996111623,2
+41779760992,45577204236305041441188043766994731260,2
+420606606945,272702772448541289201117093960736096269,2
+420734315294,23649201065554726644027166491657416397,2
+420739004560,262747310692817314728765406339084900826,1
+436641221888,101759214427965389123610180266952676651,3
+447444056749,279089444544469211357435054713622725000,2
+447769793500,116599686130701282869829533177646941400,4
+447857111783,23854292367301251962755678959081491315,1
+4520662364,15196804622469869251465824046149251882,4
+4520662364,55772562031977990363428318456331370741,2
+4522210648,19882481555495763883083642616394111543,2
+4522768041,248180148745587147544035639821467037004,2
+4522774930,262780620663736429248943575581685387095,13
+4522774930,303245742158697965753241506606904145184,5
+4522774930,5949246800331415376303462510735392830,3
+4522812946,91601884989728074151933112620405144760,5
+4527353096,55352361588658552334875695669898388887,4
+4528140455,207687891280666455007419456912388236157,3
+4529466098,97142351042245971161516413195297109164,1
+4529708623,207959647797461701186454180558598798143,9
+4530758593,22690987541700950355543675797038156947,5
+4531503918,143547425352927134880551581179271102912,2
+4532321239,331103358529697958483327343767749384554,2
+4532321239,333608727466357042332165825774155771314,2
+4532321239,47318768271930570478692863426148494162,5
+4532326084,227088354359079332094633830410017382454,2
+4533121080,278046601021759459630961966005439969453,2
+4534485979,12120352546046399700292512406406983064,2
+4540982999,324909087068864420030335760600868734732,3
+4541499508,235746409377308999892663613773618947561,3
+4542318203,66802607438482394129468267782131266994,2
+4542321484,124038131913265608680439034126877227548,5
+4542321484,128907543859694409328165279671344677935,2
+4542321484,13868711098923222265149252871799804155,7
+4542321484,37558699564357369907152162668367361338,3
+4542321484,84956403044870989761013241413742007135,4
